Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-07-01,325.8599853515625,333.20001220703125,325.1000061035156,332.3900146484375,3173600,0,0
2014-07-02,333.20001220703125,336.760009765625,331.6600036621094,332.8500061035156,2681300,0,0
2014-07-03,334.8299865722656,338.29998779296875,333.0799865722656,337.489990234375,1944300,0,0
2014-07-07,337.5,337.54998779296875,332.5199890136719,333.54998779296875,2128900,0,0
2014-07-08,333.1000061035156,333.739990234375,321.3999938964844,323.80999755859375,4271600,0,0
2014-07-09,324.7099914550781,330.20001220703125,323.1499938964844,329.9700012207031,3166100,0,0
2014-07-10,324.3399963378906,329.9800109863281,322.6499938964844,327.9200134277344,2665000,0,0
2014-07-11,334.7099914550781,347.0,334.7099914550781,346.20001220703125,8300800,0,0
2014-07-14,347.0299987792969,355.7699890136719,345.3599853515625,355.32000732421875,5609900,0,0
2014-07-15,353.7200012207031,355.5899963378906,349.3999938964844,354.44000244140625,4170900,0,0
2014-07-16,355.6199951171875,359.32000732421875,353.0,355.8999938964844,3503600,0,0
2014-07-17,353.44000244140625,356.9599914550781,351.3800048828125,352.45001220703125,3636000,0,0
2014-07-18,354.3999938964844,359.67999267578125,352.0799865722656,358.6600036621094,3407400,0,0
2014-07-21,358.1000061035156,361.7099914550781,356.7200012207031,359.760009765625,2278400,0,0
2014-07-22,355.25,362.92999267578125,355.25,360.8399963378906,2888900,0,0
2014-07-23,359.04998779296875,360.6300048828125,356.6199951171875,358.1400146484375,2687300,0,0
2014-07-24,359.9800109863281,364.8500061035156,358.5199890136719,358.6099853515625,7088700,0,0
2014-07-25,317.29998779296875,324.8699951171875,314.760009765625,324.010009765625,17846500,0,0
2014-07-28,324.25,324.82000732421875,316.5,320.4100036621094,5932000,0,0
2014-07-29,321.9800109863281,322.8999938964844,319.5,320.0,2883800,0,0
2014-07-30,321.45001220703125,322.7300109863281,318.5,322.510009765625,3969000,0,0
2014-07-31,320.010009765625,320.67999267578125,311.8599853515625,312.989990234375,5192000,0,0
2014-08-01,313.69000244140625,315.8299865722656,304.5899963378906,307.05999755859375,7441500,0,0
2014-08-04,308.8399963378906,316.17999267578125,308.5,313.6499938964844,4200900,0,0
2014-08-05,313.29998779296875,314.54998779296875,310.05999755859375,312.32000732421875,2852100,0,0
2014-08-06,310.8299865722656,315.7799987792969,310.20001220703125,313.8900146484375,2296900,0,0
2014-08-07,315.2099914550781,315.8800048828125,309.6499938964844,311.45001220703125,2935600,0,0
2014-08-08,311.94000244140625,317.32000732421875,310.6600036621094,316.79998779296875,2705900,0,0
2014-08-11,318.4800109863281,320.3800048828125,316.8800048828125,318.3299865722656,2468600,0,0
2014-08-12,318.8900146484375,321.30999755859375,316.95001220703125,319.32000732421875,1915800,0,0
2014-08-13,327.6000061035156,331.7200012207031,326.1400146484375,326.2799987792969,4939100,0,0
2014-08-14,327.79998779296875,334.0899963378906,326.7099914550781,333.2099914550781,3420400,0,0
2014-08-15,334.0,335.0,328.32000732421875,333.6300048828125,3896700,0,0
2014-08-18,335.4800109863281,337.79998779296875,333.7699890136719,334.5299987792969,2485400,0,0
2014-08-19,334.8699951171875,335.80999755859375,333.010009765625,335.1300048828125,1713800,0,0
2014-08-20,334.67999267578125,337.1600036621094,334.0199890136719,335.7799987792969,1810500,0,0
2014-08-21,336.4800109863281,336.5799865722656,332.2300109863281,332.9100036621094,1971100,0,0
2014-08-22,332.989990234375,334.0799865722656,330.79998779296875,331.5899963378906,2211200,0,0
2014-08-25,333.2099914550781,336.7699890136719,332.7099914550781,334.0199890136719,1957700,0,0
2014-08-26,337.0,344.3599853515625,334.54998779296875,341.8299865722656,3654700,0,0
2014-08-27,342.0899963378906,346.6700134277344,341.3399963378906,343.17999267578125,2961600,0,0
2014-08-28,340.0,341.7900085449219,338.79998779296875,340.0199890136719,2252700,0,0
2014-08-29,341.760009765625,341.82000732421875,337.67999267578125,339.0400085449219,1939500,0,0
2014-09-02,339.9800109863281,342.5,337.1600036621094,342.3800048828125,2326000,0,0
2014-09-03,342.5400085449219,343.2699890136719,337.54998779296875,339.0,1993700,0,0
2014-09-04,343.69000244140625,349.3800048828125,343.5799865722656,345.95001220703125,3965600,0,0
2014-09-05,346.29998779296875,346.8299865722656,342.5,346.3800048828125,2107000,0,0
2014-09-08,344.5400085449219,345.80999755859375,339.0400085449219,342.3399963378906,2955300,0,0
2014-09-09,341.6099853515625,341.760009765625,329.17999267578125,329.75,4646800,0,0
2014-09-10,334.29998779296875,334.9800109863281,328.82000732421875,331.3299865722656,3797400,0,0
2014-09-11,329.94000244140625,333.010009765625,326.3900146484375,330.5199890136719,2720200,0,0
2014-09-12,329.55999755859375,332.8900146484375,328.7900085449219,331.19000244140625,3429300,0,0
2014-09-15,330.9100036621094,331.3299865722656,319.0,323.8900146484375,4000400,0,0
2014-09-16,321.07000732421875,329.4800109863281,320.1000061035156,327.760009765625,3259900,0,0
2014-09-17,327.760009765625,328.0,321.5199890136719,324.0,4136000,0,0
2014-09-18,325.44000244140625,327.1000061035156,323.7099914550781,325.0,2576900,0,0
2014-09-19,327.6000061035156,332.760009765625,325.57000732421875,331.32000732421875,6886200,0,0
2014-09-22,328.489990234375,329.489990234375,321.05999755859375,324.5,3109700,0,0
2014-09-23,322.4599914550781,327.6000061035156,321.25,323.6300048828125,2352600,0,0
2014-09-24,324.1700134277344,329.44000244140625,319.55999755859375,328.2099914550781,2642200,0,0
2014-09-25,327.989990234375,328.5400085449219,321.3999938964844,321.92999267578125,2928800,0,0
2014-09-26,320.6000061035156,323.5,317.6400146484375,323.2099914550781,3638000,0,0
2014-09-29,320.5,323.75,319.0,321.82000732421875,1924600,0,0
2014-09-30,321.3599853515625,323.42999267578125,318.510009765625,322.44000244140625,2636200,0,0
2014-10-01,322.0400085449219,322.1700134277344,315.54998779296875,317.4599914550781,3089100,0,0
2014-10-02,316.9200134277344,318.5299987792969,311.30999755859375,318.4100036621094,3553900,0,0
2014-10-03,320.3599853515625,325.1600036621094,319.5299987792969,322.739990234375,3037400,0,0
2014-10-06,323.5,324.1300048828125,319.6000061035156,322.20001220703125,2290300,0,0
2014-10-07,319.42999267578125,322.0,316.6700134277344,316.9800109863281,2365400,0,0
2014-10-08,316.5799865722656,324.1099853515625,314.1400146484375,322.70001220703125,3452800,0,0
2014-10-09,321.489990234375,322.2699890136719,314.5199890136719,315.3699951171875,3587900,0,0
2014-10-10,314.0199890136719,317.7699890136719,311.3800048828125,311.3900146484375,3681900,0,0
2014-10-13,309.8699951171875,313.20001220703125,303.4700012207031,306.45001220703125,4363900,0,0
2014-10-14,308.0,312.239990234375,305.75,308.30999755859375,3385800,0,0
2014-10-15,304.3500061035156,307.8999938964844,299.1000061035156,305.9700012207031,5343900,0,0
2014-10-16,293.8299865722656,306.82000732421875,293.8299865722656,302.8599853515625,4731300,0,0
2014-10-17,307.1499938964844,309.20001220703125,302.7200012207031,303.6400146484375,4405100,0,0
